tmax,tmin,station,date
24.4,8.5,SAN JUAN AERO,2018-10-03
12.7,4.1,SAN JULIAN AERO,2018-10-03
23.9,10.9,SAN LUIS AERO,2018-10-03
23.3,8.5,SAN MARTIN (MZA),2018-10-03
20.8,2.7,SAN RAFAEL AERO,2018-10-03
15.2,4.9,SANTA CRUZ AERO,2018-10-03
20.2,4.3,SANTA ROSA AERO,2018-10-03
25.4,,SANTA ROSA DE CONLARA AERO,2018-10-03
25,16.7,SANTIAGO DEL ESTERO AERO,2018-10-03
24.3,9,SAUCE VIEJO AERO,2018-10-03
25.5,5.3,SUNCHALES AERO,2018-10-03
19.6,-1.2,TANDIL AERO,2018-10-03
23.3,13.5,TARTAGAL AERO,2018-10-03
26,15,TERMAS DE RIO HONDO AERO,2018-10-03
25.6,7,TINOGASTA,2018-10-03
17.3,6.8,TRELEW AERO,2018-10-03
21.1,5.5,TRENQUE LAUQUEN,2018-10-03
17.6,0.8,TRES ARROYOS,2018-10-03
24.8,11.2,TUCUMAN AERO,2018-10-03
4.2,0.4,USHUAIA AERO,2018-10-03
21.9,2.1,USPALLATA,2018-10-03
24.5,2.6,VENADO TUERTO,2018-10-03
19.7,3.5,VICTORICA,2018-10-03
15.8,0.2,VIEDMA AERO,2018-10-03
25.3,7.4,VILLA DOLORES AERO,2018-10-03
19.5,4,VILLA GESELL AERO,2018-10-03
25.2,8.2,VILLA MARIA DEL RIO SECO,2018-10-03
22.1,2.3,VILLA REYNOLDS AERO,2018-10-03
19.5,12,AEROPARQUE AERO,2018-10-04
20,1,AZUL AERO,2018-10-04
20,2.3,BAHIA BLANCA AERO,2018-10-04
19.1,-6.2,BARILOCHE AERO,2018-10-04
-14.8,-29.2,BASE BELGRANO II,2018-10-04
-3,-5.2,BASE CARLINI (EX JUBANY),2018-10-04
2.1,-11.4,BASE ESPERANZA,2018-10-04
-4.3,-15.1,BASE MARAMBIO,2018-10-04
-0.9,-4.4,BASE ORCADAS,2018-10-04
-13,-23.4,BASE SAN MARTIN,2018-10-04
19.2,1.3,BENITO JUAREZ AERO,2018-10-04
20.8,14.4,BERNARDO DE IRIGOYEN AERO,2018-10-04
20.6,4.7,BOLIVAR AERO,2018-10-04
21.4,9.7,BUENOS AIRES,2018-10-04
19.6,5.9,CAMPO DE MAYO AERO,2018-10-04
27.8,16,CATAMARCA AERO,2018-10-04
28.2,9.8,CERES AERO,2018-10-04
27.6,14.4,CHAMICAL AERO,2018-10-04
18,-4.2,CHAPELCO AERO,2018-10-04
26,12,CHEPES,2018-10-04
25.8,11.1,CHILECITO AERO,2018-10-04
21.6,7.2,CIPOLLETTI,2018-10-04
14.5,5.7,COMODORO RIVADAVIA AERO,2018-10-04
23.5,7,CONCORDIA AERO,2018-10-04
25.5,5.1,CORDOBA AERO,2018-10-04
26.4,10.2,CORDOBA OBSERVATORIO,2018-10-04
19.1,0.5,CORONEL PRINGLES AERO,2018-10-04
19.5,-0.2,CORONEL SUAREZ AERO,2018-10-04
25.3,13.4,CORRIENTES AERO,2018-10-04
17.8,6,DOLORES AERO,2018-10-04
,-2.5,EL BOLSON AERO,2018-10-04
12.9,5.5,EL CALAFATE AERO,2018-10-04
20.2,3.3,EL PALOMAR AERO,2018-10-04
25.1,6.4,EL TREBOL,2018-10-04
,,ESC.AVIACION MILITAR AERO,2018-10-04
19.5,-2.8,ESQUEL AERO,2018-10-04
19,6.5,EZEIZA AERO,2018-10-04
26.8,17,FORMOSA AERO,2018-10-04
25,3.5,GENERAL PICO AERO,2018-10-04
15.5,1,GOBERNADOR GREGORES AERO,2018-10-04
21,8.4,GUALEGUAYCHU AERO,2018-10-04
26.1,17.4,IGUAZU AERO,2018-10-04
25.5,13.5,ITUZAINGO,2018-10-04
23,4.3,JACHAL,2018-10-04
25.8,15.3,JUJUY AERO,2018-10-04
24.1,13.5,JUJUY U N,2018-10-04
21,4.6,JUNIN AERO,2018-10-04
19,6,LA PLATA AERO,2018-10-04
21.4,5.3,LA QUIACA OBS.,2018-10-04
27.5,15.6,LA RIOJA AERO,2018-10-04
23,4.9,LABOULAYE AERO,2018-10-04
19.5,6.5,LAS FLORES AERO,2018-10-04
22.5,18.1,LAS LOMITAS,2018-10-04
18.9,-0.5,MALARGUE AERO,2018-10-04
17.5,-1.4,MAQUINCHAO,2018-10-04
19.2,4.2,MAR DEL PLATA AERO,2018-10-04
25.6,5.8,MARCOS JUAREZ AERO,2018-10-04
20.5,5,MARIANO MORENO AERO,2018-10-04
25,9.4,MENDOZA AERO,2018-10-04
23.9,9.4,MENDOZA OBSERVATORIO,2018-10-04
25.6,9.2,MERCEDES AERO (CTES),2018-10-04
20,6,MERLO AERO,2018-10-04
24.7,14.6,METAN,2018-10-04
24.6,10,MONTE CASEROS AERO,2018-10-04
19,7.5,MORON AERO,2018-10-04
21.2,4.6,NEUQUEN AERO,2018-10-04
21,6.9,NUEVE DE JULIO,2018-10-04
25,15,OBERA AERO,2018-10-04
18.9,1.1,OLAVARRIA AERO,2018-10-04
28.1,17.9,ORAN AERO,2018-10-04
25,10.9,PARANA AERO,2018-10-04
21,3.7,PASO DE INDIOS,2018-10-04
25,8.5,PASO DE LOS LIBRES AERO,2018-10-04
27.7,11,PCIA. ROQUE SAENZ PE�A AERO,2018-10-04
21.3,4.2,PEHUAJO AERO,2018-10-04
16.8,4,PERITO MORENO AERO,2018-10-04
19.6,0.8,PIGUE AERO,2018-10-04
25.7,8,PILAR OBS.,2018-10-04
25.3,14.7,POSADAS AERO,2018-10-04
12,4,PUERTO DESEADO AERO,2018-10-04
18,4,PUERTO MADRYN AERO,2018-10-04
18.5,10.2,PUNTA INDIO B.A.,2018-10-04
25.6,,RAFAELA AERO,2018-10-04
25.7,9.4,RECONQUISTA AERO,2018-10-04
26,13.9,RESISTENCIA AERO,2018-10-04
21.6,3.2,RIO COLORADO,2018-10-04
23.2,7.7,RIO CUARTO AERO,2018-10-04
11.6,4,RIO GALLEGOS AERO,2018-10-04
8.9,-5.3,RIO GRANDE B.A.,2018-10-04
25,13,RIVADAVIA,2018-10-04
24.7,6.1,ROSARIO AERO,2018-10-04
23.5,13.5,SALTA AERO,2018-10-04
16.7,9.2,SAN ANTONIO OESTE AERO,2018-10-04
24.9,3.5,SAN CARLOS (MZA),2018-10-04
19.5,7.8,SAN FERNANDO,2018-10-04
24.2,8.4,SAN JUAN AERO,2018-10-04
14.4,4.4,SAN JULIAN AERO,2018-10-04
26.5,12.3,SAN LUIS AERO,2018-10-04
26.2,9,SAN MARTIN (MZA),2018-10-04
23,4.4,SAN RAFAEL AERO,2018-10-04
12.8,4.5,SANTA CRUZ AERO,2018-10-04
22.9,3.5,SANTA ROSA AERO,2018-10-04
25.5,,SANTA ROSA DE CONLARA AERO,2018-10-04
28.2,15.2,SANTIAGO DEL ESTERO AERO,2018-10-04
27,9,SAUCE VIEJO AERO,2018-10-04
27.4,8.8,SUNCHALES AERO,2018-10-04
20.1,0.6,TANDIL AERO,2018-10-04
24.6,15.4,TARTAGAL AERO,2018-10-04
27,15.5,TERMAS DE RIO HONDO AERO,2018-10-04
22.4,11,TINOGASTA,2018-10-04
18.4,6,TRELEW AERO,2018-10-04
22.9,4.4,TRENQUE LAUQUEN,2018-10-04
19.5,3.2,TRES ARROYOS,2018-10-04
26.9,14.9,TUCUMAN AERO,2018-10-04
6,0.2,USHUAIA AERO,2018-10-04
24,0.5,USPALLATA,2018-10-04
22.5,5.6,VENADO TUERTO,2018-10-04
24,2.7,VICTORICA,2018-10-04
16.3,0.2,VIEDMA AERO,2018-10-04
25.6,8.7,VILLA DOLORES AERO,2018-10-04
18.5,4.3,VILLA GESELL AERO,2018-10-04
27.5,5.8,VILLA MARIA DEL RIO SECO,2018-10-04
24.7,0.6,VILLA REYNOLDS AERO,2018-10-04
16.5,11.7,AEROPARQUE AERO,2018-10-05
