tmax,tmin,station,date
8.4,2,EL CALAFATE AERO,2019-05-25
19.5,4.5,EL PALOMAR AERO,2019-05-25
,7,EL TREBOL,2019-05-25
22,4.4,ESC.AVIACION MILITAR AERO,2019-05-25
13.8,2.8,ESQUEL AERO,2019-05-25
19,8.6,EZEIZA AERO,2019-05-25
21.5,9.6,FORMOSA AERO,2019-05-25
18,5.2,GENERAL PICO AERO,2019-05-25
9.5,3.5,GOBERNADOR GREGORES AERO,2019-05-25
19.3,5.9,GUALEGUAYCHU AERO,2019-05-25
17.4,12.5,IGUAZU AERO,2019-05-25
21.8,11.1,ITUZAINGO,2019-05-25
27.5,-3,JACHAL,2019-05-25
20.4,3.5,JUJUY AERO,2019-05-25
19,2.3,JUJUY U N,2019-05-25
18,4.2,JUNIN AERO,2019-05-25
18.4,8.4,LA PLATA AERO,2019-05-25
18.6,-7.2,LA QUIACA OBS.,2019-05-25
16,4.4,LA RIOJA AERO,2019-05-25
19.1,4,LABOULAYE AERO,2019-05-25
18,5.4,LAS FLORES AERO,2019-05-25
22,9.2,LAS LOMITAS,2019-05-25
16.4,-0.5,MALARGUE AERO,2019-05-25
13,1.9,MAQUINCHAO,2019-05-25
19.1,5,MAR DEL PLATA AERO,2019-05-25
20.2,4.3,MARCOS JUAREZ AERO,2019-05-25
19,5.5,MARIANO MORENO AERO,2019-05-25
19.8,3.8,MENDOZA AERO,2019-05-25
,4.6,MENDOZA OBSERVATORIO,2019-05-25
20.2,9.9,MERCEDES AERO (CTES),2019-05-25
18.8,6,MERLO AERO,2019-05-25
22.6,2.9,METAN,2019-05-25
19.7,7.9,MONTE CASEROS AERO,2019-05-25
19,8.1,MORON AERO,2019-05-25
17.9,3.7,NEUQUEN AERO,2019-05-25
16.9,6,NUEVE DE JULIO,2019-05-25
16,11,OBERA AERO,2019-05-25
17.5,3.6,OLAVARRIA AERO,2019-05-25
21.7,6.3,ORAN AERO,2019-05-25
18.7,9.9,PARANA AERO,2019-05-25
15.4,1.1,PASO DE INDIOS,2019-05-25
20.5,7.2,PASO DE LOS LIBRES AERO,2019-05-25
21.9,8.8,PCIA. ROQUE SAENZ PE�A AERO,2019-05-25
17.5,6,PEHUAJO AERO,2019-05-25
10,4.8,PERITO MORENO AERO,2019-05-25
17,1.8,PIGUE AERO,2019-05-25
20.1,5.6,PILAR OBS.,2019-05-25
20.2,10.7,POSADAS AERO,2019-05-25
10,0.3,PUERTO DESEADO AERO,2019-05-25
17.8,6,PUERTO MADRYN AERO,2019-05-25
19.6,6.5,PUNTA INDIO B.A.,2019-05-25
19.4,8.8,RAFAELA AERO,2019-05-25
20.2,7.3,RECONQUISTA AERO,2019-05-25
22.2,8.3,RESISTENCIA AERO,2019-05-25
16.2,6.4,RIO COLORADO,2019-05-25
20.4,4.5,RIO CUARTO AERO,2019-05-25
7,0,RIO GALLEGOS AERO,2019-05-25
5.2,-0.8,RIO GRANDE B.A.,2019-05-25
25,,RIVADAVIA,2019-05-25
19.2,4.1,ROSARIO AERO,2019-05-25
20.7,-0.2,SALTA AERO,2019-05-25
22.7,4.7,SAN ANTONIO OESTE AERO,2019-05-25
22.5,-0.5,SAN CARLOS (MZA),2019-05-25
19,6.9,SAN FERNANDO,2019-05-25
18,1,SAN JUAN AERO,2019-05-25
9.5,-1.3,SAN JULIAN AERO,2019-05-25
20,7.3,SAN LUIS AERO,2019-05-25
19.6,3.6,SAN MARTIN (MZA),2019-05-25
19.6,5.1,SAN RAFAEL AERO,2019-05-25
7,-1,SANTA CRUZ AERO,2019-05-25
17.9,3.2,SANTA ROSA AERO,2019-05-25
18.8,-2.4,SANTA ROSA DE CONLARA AERO,2019-05-25
20.8,6.5,SANTIAGO DEL ESTERO AERO,2019-05-25
20.1,8.2,SAUCE VIEJO AERO,2019-05-25
20.6,7.6,SUNCHALES AERO,2019-05-25
17.6,1.3,TANDIL AERO,2019-05-25
21.7,7.4,TARTAGAL AERO,2019-05-25
19,6.2,TERMAS DE RIO HONDO AERO,2019-05-25
20.8,3,TINOGASTA,2019-05-25
19,4.1,TRELEW AERO,2019-05-25
16.5,6,TRENQUE LAUQUEN,2019-05-25
20.1,6.9,TRES ARROYOS,2019-05-25
21.1,8.2,TUCUMAN AERO,2019-05-25
5.5,1.4,USHUAIA AERO,2019-05-25
20.8,3,USPALLATA,2019-05-25
19.5,4.6,VENADO TUERTO,2019-05-25
18.5,6.9,VICTORICA,2019-05-25
19.3,0.6,VIEDMA AERO,2019-05-25
19.4,7.8,VILLA DOLORES AERO,2019-05-25
18,5,VILLA GESELL AERO,2019-05-25
20.5,3.3,VILLA MARIA DEL RIO SECO,2019-05-25
21.2,2.2,VILLA REYNOLDS AERO,2019-05-25
17.6,13.1,AEROPARQUE AERO,2019-05-26
14.6,7.5,AZUL AERO,2019-05-26
15.5,5.9,BAHIA BLANCA AERO,2019-05-26
11,0.8,BARILOCHE AERO,2019-05-26
-7,-13,BASE BELGRANO II,2019-05-26
-9.1,-15,BASE CARLINI (EX JUBANY),2019-05-26
-15.4,-21.4,BASE ESPERANZA,2019-05-26
-18.2,-26.2,BASE MARAMBIO,2019-05-26
-17.8,-25.7,BASE ORCADAS,2019-05-26
-10.5,-15,BASE SAN MARTIN,2019-05-26
14.7,9.5,BENITO JUAREZ AERO,2019-05-26
20.4,10.7,BERNARDO DE IRIGOYEN AERO,2019-05-26
18.3,6.7,BOLIVAR AERO,2019-05-26
19.4,13.3,BUENOS AIRES,2019-05-26
19.5,10,CAMPO DE MAYO AERO,2019-05-26
20.2,1.3,CATAMARCA AERO,2019-05-26
23.8,11.9,CERES AERO,2019-05-26
20.2,6.7,CHAMICAL AERO,2019-05-26
12,5.2,CHAPELCO AERO,2019-05-26
19,8,CHEPES,2019-05-26
20.6,1.8,CHILECITO AERO,2019-05-26
16.5,4.9,CIPOLLETTI,2019-05-26
11,2.5,COMODORO RIVADAVIA AERO,2019-05-26
19,11.8,CONCORDIA AERO,2019-05-26
19.7,6.8,CORDOBA AERO,2019-05-26
21,9.1,CORDOBA OBSERVATORIO,2019-05-26
13.6,6.2,CORONEL PRINGLES AERO,2019-05-26
18.2,5.2,CORONEL SUAREZ AERO,2019-05-26
20.5,14.2,CORRIENTES AERO,2019-05-26
17.5,7.2,DOLORES AERO,2019-05-26
9.1,-2,EL BOLSON AERO,2019-05-26
6.9,-5.7,EL CALAFATE AERO,2019-05-26
20,11.5,EL PALOMAR AERO,2019-05-26
,8,EL TREBOL,2019-05-26
20,8.2,ESC.AVIACION MILITAR AERO,2019-05-26
5.9,-3.8,ESQUEL AERO,2019-05-26
19.6,12.9,EZEIZA AERO,2019-05-26
21,13.2,FORMOSA AERO,2019-05-26
19.5,3.3,GENERAL PICO AERO,2019-05-26
8.5,-4,GOBERNADOR GREGORES AERO,2019-05-26
19.2,9.8,GUALEGUAYCHU AERO,2019-05-26
24.8,11.4,IGUAZU AERO,2019-05-26
,,ITUZAINGO,2019-05-26
,,JACHAL,2019-05-26
23.2,5.2,JUJUY AERO,2019-05-26
25,3.9,JUJUY U N,2019-05-26
19,9.2,JUNIN AERO,2019-05-26
17.9,10.7,LA PLATA AERO,2019-05-26
18.3,-6,LA QUIACA OBS.,2019-05-26
21.8,3.1,LA RIOJA AERO,2019-05-26
20,9.3,LABOULAYE AERO,2019-05-26
16.5,9.2,LAS FLORES AERO,2019-05-26
20.9,14.5,LAS LOMITAS,2019-05-26
13.4,0.6,MALARGUE AERO,2019-05-26
11.2,-0.2,MAQUINCHAO,2019-05-26
15.7,7.6,MAR DEL PLATA AERO,2019-05-26
19.6,10.2,MARCOS JUAREZ AERO,2019-05-26
19,8.5,MARIANO MORENO AERO,2019-05-26
19.2,5.8,MENDOZA AERO,2019-05-26
,6,MENDOZA OBSERVATORIO,2019-05-26
20.4,12,MERCEDES AERO (CTES),2019-05-26
20,10.2,MERLO AERO,2019-05-26
24.5,5.4,METAN,2019-05-26
21,12.4,MONTE CASEROS AERO,2019-05-26
19.4,10.9,MORON AERO,2019-05-26
16.7,3.5,NEUQUEN AERO,2019-05-26
17.7,9.1,NUEVE DE JULIO,2019-05-26
,,OBERA AERO,2019-05-26
14.8,6.5,OLAVARRIA AERO,2019-05-26
24.7,9,ORAN AERO,2019-05-26
18.8,11.9,PARANA AERO,2019-05-26
11.4,-4.3,PASO DE INDIOS,2019-05-26
21.1,11.4,PASO DE LOS LIBRES AERO,2019-05-26
23.3,13.5,PCIA. ROQUE SAENZ PE�A AERO,2019-05-26
18.2,9.7,PEHUAJO AERO,2019-05-26
,-4.9,PERITO MORENO AERO,2019-05-26
12.5,5.8,PIGUE AERO,2019-05-26
19.5,7.5,PILAR OBS.,2019-05-26
21.8,12.7,POSADAS AERO,2019-05-26
9.4,-2.1,PUERTO DESEADO AERO,2019-05-26
12.8,-0.2,PUERTO MADRYN AERO,2019-05-26
18.5,9.5,PUNTA INDIO B.A.,2019-05-26
20.2,11.9,RAFAELA AERO,2019-05-26
22.4,12.9,RECONQUISTA AERO,2019-05-26
21.3,13.2,RESISTENCIA AERO,2019-05-26
15.4,5.2,RIO COLORADO,2019-05-26
19,6.5,RIO CUARTO AERO,2019-05-26
7,-1,RIO GALLEGOS AERO,2019-05-26
5.5,-3.2,RIO GRANDE B.A.,2019-05-26
26,9.3,RIVADAVIA,2019-05-26
20.2,11.9,ROSARIO AERO,2019-05-26
26.9,1.2,SALTA AERO,2019-05-26
14,3.4,SAN ANTONIO OESTE AERO,2019-05-26
,,SAN CARLOS (MZA),2019-05-26
19.6,10.6,SAN FERNANDO,2019-05-26
19,-0.5,SAN JUAN AERO,2019-05-26
8.9,-3.1,SAN JULIAN AERO,2019-05-26
16.5,6.1,SAN LUIS AERO,2019-05-26
17.7,4.9,SAN MARTIN (MZA),2019-05-26
17.2,2.2,SAN RAFAEL AERO,2019-05-26
,-2.5,SANTA CRUZ AERO,2019-05-26
15,6.4,SANTA ROSA AERO,2019-05-26
21.3,3.9,SANTA ROSA DE CONLARA AERO,2019-05-26
23.5,2.5,SANTIAGO DEL ESTERO AERO,2019-05-26
21.4,13.4,SAUCE VIEJO AERO,2019-05-26
22.5,11,SUNCHALES AERO,2019-05-26
16.2,6.9,TANDIL AERO,2019-05-26
23.6,9.6,TARTAGAL AERO,2019-05-26
21,3,TERMAS DE RIO HONDO AERO,2019-05-26
27.5,0,TINOGASTA,2019-05-26
12.8,2.2,TRELEW AERO,2019-05-26
,,TRENQUE LAUQUEN,2019-05-26
15.2,9.5,TRES ARROYOS,2019-05-26
21,7.7,TUCUMAN AERO,2019-05-26
5.5,1,USHUAIA AERO,2019-05-26
14.3,-4,USPALLATA,2019-05-26
17.8,9.2,VENADO TUERTO,2019-05-26
18.3,4.7,VICTORICA,2019-05-26
14.9,5.1,VIEDMA AERO,2019-05-26
20.8,7.7,VILLA DOLORES AERO,2019-05-26
16.5,7.5,VILLA GESELL AERO,2019-05-26
23,8.5,VILLA MARIA DEL RIO SECO,2019-05-26
20,4,VILLA REYNOLDS AERO,2019-05-26
19,14.3,AEROPARQUE AERO,2019-05-27
16.4,3.4,AZUL AERO,2019-05-27
17.5,0.4,BAHIA BLANCA AERO,2019-05-27
8.6,5,BARILOCHE AERO,2019-05-27
-4,,BASE BELGRANO II,2019-05-27
-3.6,-10.5,BASE CARLINI (EX JUBANY),2019-05-27
-8.8,-15.4,BASE ESPERANZA,2019-05-27
-12.8,-20.6,BASE MARAMBIO,2019-05-27
-13.2,-18.5,BASE ORCADAS,2019-05-27
-12.3,-15.5,BASE SAN MARTIN,2019-05-27
16,0,BENITO JUAREZ AERO,2019-05-27
21.5,15.1,BERNARDO DE IRIGOYEN AERO,2019-05-27
15.1,5.9,BOLIVAR AERO,2019-05-27
18.8,13.5,BUENOS AIRES,2019-05-27
17.4,9.6,CAMPO DE MAYO AERO,2019-05-27
20.4,4.8,CATAMARCA AERO,2019-05-27
17,11.4,CERES AERO,2019-05-27
17.5,8.9,CHAMICAL AERO,2019-05-27
10.4,5.6,CHAPELCO AERO,2019-05-27
13.5,5,CHEPES,2019-05-27
17.6,5,CHILECITO AERO,2019-05-27
15,6.2,CIPOLLETTI,2019-05-27
13.4,5.9,COMODORO RIVADAVIA AERO,2019-05-27
21.1,11.5,CONCORDIA AERO,2019-05-27
13.6,7.5,CORDOBA AERO,2019-05-27
14.8,9.9,CORDOBA OBSERVATORIO,2019-05-27
,0.4,CORONEL PRINGLES AERO,2019-05-27
16,0.7,CORONEL SUAREZ AERO,2019-05-27
22.2,15.8,CORRIENTES AERO,2019-05-27
16.2,6.3,DOLORES AERO,2019-05-27
11,5.3,EL BOLSON AERO,2019-05-27
3.9,-5.5,EL CALAFATE AERO,2019-05-27
17.3,9.5,EL PALOMAR AERO,2019-05-27
16.5,6,EL TREBOL,2019-05-27
14.2,8,ESC.AVIACION MILITAR AERO,2019-05-27
8.2,0,ESQUEL AERO,2019-05-27
16.6,10.6,EZEIZA AERO,2019-05-27
24,17.7,FORMOSA AERO,2019-05-27
14.6,1.2,GENERAL PICO AERO,2019-05-27
7.5,1,GOBERNADOR GREGORES AERO,2019-05-27
17.2,11.8,GUALEGUAYCHU AERO,2019-05-27
27.3,17,IGUAZU AERO,2019-05-27
20.8,16.5,ITUZAINGO,2019-05-27
15.5,-3,JACHAL,2019-05-27
18.8,7.4,JUJUY AERO,2019-05-27
17.4,6,JUJUY U N,2019-05-27
17.4,10.4,JUNIN AERO,2019-05-27
17.4,10.6,LA PLATA AERO,2019-05-27
16.5,0.4,LA QUIACA OBS.,2019-05-27
21.5,10.9,LA RIOJA AERO,2019-05-27
14.3,5.9,LABOULAYE AERO,2019-05-27
16.5,3,LAS FLORES AERO,2019-05-27
22.4,17,LAS LOMITAS,2019-05-27
12.4,-2.3,MALARGUE AERO,2019-05-27
10.8,-1.5,MAQUINCHAO,2019-05-27
15.3,4.7,MAR DEL PLATA AERO,2019-05-27
14.9,6.6,MARCOS JUAREZ AERO,2019-05-27
17.5,8.7,MARIANO MORENO AERO,2019-05-27
15.2,2.7,MENDOZA AERO,2019-05-27
,3.5,MENDOZA OBSERVATORIO,2019-05-27
21.5,14.2,MERCEDES AERO (CTES),2019-05-27
17,10,MERLO AERO,2019-05-27
,10.8,METAN,2019-05-27
19.8,13.6,MONTE CASEROS AERO,2019-05-27
16.9,11.1,MORON AERO,2019-05-27
15.4,4.5,NEUQUEN AERO,2019-05-27
16.1,5.8,NUEVE DE JULIO,2019-05-27
,18.6,OBERA AERO,2019-05-27
16.5,3.6,OLAVARRIA AERO,2019-05-27
22.5,13.8,ORAN AERO,2019-05-27
16.2,11,PARANA AERO,2019-05-27
11.6,-1.1,PASO DE INDIOS,2019-05-27
22.2,15,PASO DE LOS LIBRES AERO,2019-05-27
20,17,PCIA. ROQUE SAENZ PE�A AERO,2019-05-27
13.5,5,PEHUAJO AERO,2019-05-27
9,-3.5,PERITO MORENO AERO,2019-05-27
15.4,0.3,PIGUE AERO,2019-05-27
14.7,8.2,PILAR OBS.,2019-05-27
22.8,17.9,POSADAS AERO,2019-05-27
9.8,0,PUERTO DESEADO AERO,2019-05-27
15.6,1,PUERTO MADRYN AERO,2019-05-27
18.2,10.4,PUNTA INDIO B.A.,2019-05-27
,9,RAFAELA AERO,2019-05-27
20.5,12,RECONQUISTA AERO,2019-05-27
22,15.4,RESISTENCIA AERO,2019-05-27
17.4,0.4,RIO COLORADO,2019-05-27
14.3,4.3,RIO CUARTO AERO,2019-05-27
5.5,-2,RIO GALLEGOS AERO,2019-05-27
2.8,-4.8,RIO GRANDE B.A.,2019-05-27
25,11.8,RIVADAVIA,2019-05-27
17,8.9,ROSARIO AERO,2019-05-27
19.2,3.9,SALTA AERO,2019-05-27
16,1,SAN ANTONIO OESTE AERO,2019-05-27
16,-2,SAN CARLOS (MZA),2019-05-27
17.5,10.8,SAN FERNANDO,2019-05-27
15,1.2,SAN JUAN AERO,2019-05-27
7.1,0.9,SAN JULIAN AERO,2019-05-27
14.1,4,SAN LUIS AERO,2019-05-27
15.8,2.7,SAN MARTIN (MZA),2019-05-27
17.4,1.7,SAN RAFAEL AERO,2019-05-27
5.8,-4,SANTA CRUZ AERO,2019-05-27
17.1,1,SANTA ROSA AERO,2019-05-27
15.6,3,SANTA ROSA DE CONLARA AERO,2019-05-27
23,10.8,SANTIAGO DEL ESTERO AERO,2019-05-27
15.2,9.6,SAUCE VIEJO AERO,2019-05-27
16.6,10,SUNCHALES AERO,2019-05-27
17,2.2,TANDIL AERO,2019-05-27
22.4,12.4,TARTAGAL AERO,2019-05-27
17.9,10,TERMAS DE RIO HONDO AERO,2019-05-27
19.4,4.5,TINOGASTA,2019-05-27
13,-0.2,TRELEW AERO,2019-05-27
15.5,4.5,TRENQUE LAUQUEN,2019-05-27
16,1.5,TRES ARROYOS,2019-05-27
18.6,10.5,TUCUMAN AERO,2019-05-27
3.5,-1.2,USHUAIA AERO,2019-05-27
12.4,-7.2,USPALLATA,2019-05-27
18,8,VENADO TUERTO,2019-05-27
18.3,1.9,VICTORICA,2019-05-27
17.7,-2.2,VIEDMA AERO,2019-05-27
14,6.7,VILLA DOLORES AERO,2019-05-27
15,3.8,VILLA GESELL AERO,2019-05-27
16.8,7.3,VILLA MARIA DEL RIO SECO,2019-05-27
16.6,-1.4,VILLA REYNOLDS AERO,2019-05-27
16.8,11.6,AEROPARQUE AERO,2019-05-28
19,1.2,AZUL AERO,2019-05-28
14.6,2.8,BAHIA BLANCA AERO,2019-05-28
8.4,-0.6,BARILOCHE AERO,2019-05-28
-5.4,-13.2,BASE BELGRANO II,2019-05-28
-3.7,-7.6,BASE CARLINI (EX JUBANY),2019-05-28
-6.4,-12.4,BASE ESPERANZA,2019-05-28
-14.3,-20.6,BASE MARAMBIO,2019-05-28
-12.9,-20.5,BASE ORCADAS,2019-05-28
-14,-18,BASE SAN MARTIN,2019-05-28
17.8,3.8,BENITO JUAREZ AERO,2019-05-28
20.6,17.2,BERNARDO DE IRIGOYEN AERO,2019-05-28
18.9,1.2,BOLIVAR AERO,2019-05-28
18.2,10.4,BUENOS AIRES,2019-05-28
16.3,8.4,CAMPO DE MAYO AERO,2019-05-28
22,7.1,CATAMARCA AERO,2019-05-28
17.5,9.8,CERES AERO,2019-05-28
20,2.8,CHAMICAL AERO,2019-05-28
9,2.2,CHAPELCO AERO,2019-05-28
20,0.5,CHEPES,2019-05-28
18.8,3,CHILECITO AERO,2019-05-28
15.6,1.8,CIPOLLETTI,2019-05-28
6.6,0.1,COMODORO RIVADAVIA AERO,2019-05-28
17.2,12.5,CONCORDIA AERO,2019-05-28
18.2,2.6,CORDOBA AERO,2019-05-28
19.6,5,CORDOBA OBSERVATORIO,2019-05-28
17.6,1.7,CORONEL PRINGLES AERO,2019-05-28
16,1.1,CORONEL SUAREZ AERO,2019-05-28
19.2,16.3,CORRIENTES AERO,2019-05-28
18.7,4.3,DOLORES AERO,2019-05-28
10.2,0.7,EL BOLSON AERO,2019-05-28
4.4,-3,EL CALAFATE AERO,2019-05-28
18.5,7.2,EL PALOMAR AERO,2019-05-28
,8.5,EL TREBOL,2019-05-28
17.8,3.8,ESC.AVIACION MILITAR AERO,2019-05-28
7,-2.4,ESQUEL AERO,2019-05-28
17.2,7.5,EZEIZA AERO,2019-05-28
23.5,17.9,FORMOSA AERO,2019-05-28
18,0.5,GENERAL PICO AERO,2019-05-28
3.5,-1,GOBERNADOR GREGORES AERO,2019-05-28
18,12.3,GUALEGUAYCHU AERO,2019-05-28
23.4,20.8,IGUAZU AERO,2019-05-28
21.2,17.5,ITUZAINGO,2019-05-28
17.5,-7,JACHAL,2019-05-28
18.7,8.8,JUJUY AERO,2019-05-28
17.1,11.2,JUJUY U N,2019-05-28
16,7,JUNIN AERO,2019-05-28
17,6.8,LA PLATA AERO,2019-05-28
18.3,-2.4,LA QUIACA OBS.,2019-05-28
21.4,5.5,LA RIOJA AERO,2019-05-28
14.5,5.6,LABOULAYE AERO,2019-05-28
19,4.9,LAS FLORES AERO,2019-05-28
23,16.5,LAS LOMITAS,2019-05-28
13.3,-3,MALARGUE AERO,2019-05-28
7.6,-0.8,MAQUINCHAO,2019-05-28
18.5,2.5,MAR DEL PLATA AERO,2019-05-28
15.4,8.8,MARCOS JUAREZ AERO,2019-05-28
17.5,6.5,MARIANO MORENO AERO,2019-05-28
18.5,1.2,MENDOZA AERO,2019-05-28
,3,MENDOZA OBSERVATORIO,2019-05-28
19.4,15,MERCEDES AERO (CTES),2019-05-28
17.7,6.7,MERLO AERO,2019-05-28
,12.8,METAN,2019-05-28
20.5,14.7,MONTE CASEROS AERO,2019-05-28
17.4,9.1,MORON AERO,2019-05-28
15.1,-1.3,NEUQUEN AERO,2019-05-28
17.8,4.3,NUEVE DE JULIO,2019-05-28
20.8,17.4,OBERA AERO,2019-05-28
18.1,2.1,OLAVARRIA AERO,2019-05-28
19.5,16.4,ORAN AERO,2019-05-28
18.5,12.3,PARANA AERO,2019-05-28
8,-2.5,PASO DE INDIOS,2019-05-28
22.5,15.3,PASO DE LOS LIBRES AERO,2019-05-28
21,12.6,PCIA. ROQUE SAENZ PE�A AERO,2019-05-28
18.6,1.8,PEHUAJO AERO,2019-05-28
9,-2.7,PERITO MORENO AERO,2019-05-28
13,2.1,PIGUE AERO,2019-05-28
18.1,3.9,PILAR OBS.,2019-05-28
22.4,18,POSADAS AERO,2019-05-28
4.5,-0.5,PUERTO DESEADO AERO,2019-05-28
10.6,0.4,PUERTO MADRYN AERO,2019-05-28
17.2,7.5,PUNTA INDIO B.A.,2019-05-28
,10.8,RAFAELA AERO,2019-05-28
18.2,13.2,RECONQUISTA AERO,2019-05-28
20,16.4,RESISTENCIA AERO,2019-05-28
13.6,3.6,RIO COLORADO,2019-05-28
17.7,4,RIO CUARTO AERO,2019-05-28
1.6,-2.8,RIO GALLEGOS AERO,2019-05-28
1.2,-6.3,RIO GRANDE B.A.,2019-05-28
24.5,12.4,RIVADAVIA,2019-05-28
19.8,13.2,ROSARIO AERO,2019-05-28
17.2,7.6,SALTA AERO,2019-05-28
12.5,0,SAN ANTONIO OESTE AERO,2019-05-28
19.5,-1.5,SAN CARLOS (MZA),2019-05-28
16.7,9,SAN FERNANDO,2019-05-28
19.6,0.5,SAN JUAN AERO,2019-05-28
3.7,-1.1,SAN JULIAN AERO,2019-05-28
18.1,3.1,SAN LUIS AERO,2019-05-28
18.5,2.9,SAN MARTIN (MZA),2019-05-28
16.6,5.1,SAN RAFAEL AERO,2019-05-28
2.8,-3.2,SANTA CRUZ AERO,2019-05-28
17,5,SANTA ROSA AERO,2019-05-28
19.6,0.7,SANTA ROSA DE CONLARA AERO,2019-05-28
21.5,11,SANTIAGO DEL ESTERO AERO,2019-05-28
18.9,10.7,SAUCE VIEJO AERO,2019-05-28
17.5,11,SUNCHALES AERO,2019-05-28
18.1,0.5,TANDIL AERO,2019-05-28
18.6,15.5,TARTAGAL AERO,2019-05-28
20.5,12,TERMAS DE RIO HONDO AERO,2019-05-28
17.8,1,TINOGASTA,2019-05-28
12,1.6,TRELEW AERO,2019-05-28
18.5,1.8,TRENQUE LAUQUEN,2019-05-28
16.7,4.4,TRES ARROYOS,2019-05-28
18.9,13.5,TUCUMAN AERO,2019-05-28
3,-2.5,USHUAIA AERO,2019-05-28
15.5,-5.1,USPALLATA,2019-05-28
14.1,5.5,VENADO TUERTO,2019-05-28
17.7,3,VICTORICA,2019-05-28
13.4,0.2,VIEDMA AERO,2019-05-28
19.1,2,VILLA DOLORES AERO,2019-05-28
18.6,1.2,VILLA GESELL AERO,2019-05-28
18.6,2.9,VILLA MARIA DEL RIO SECO,2019-05-28
19,-1.2,VILLA REYNOLDS AERO,2019-05-28
14,9.3,AEROPARQUE AERO,2019-05-29
12,1,AZUL AERO,2019-05-29
9.8,-2.5,BAHIA BLANCA AERO,2019-05-29
3.5,-3.5,BARILOCHE AERO,2019-05-29
-11,-17,BASE BELGRANO II,2019-05-29
-4.2,-13.6,BASE CARLINI (EX JUBANY),2019-05-29
-10.7,-16.4,BASE ESPERANZA,2019-05-29
-18.7,-25.2,BASE MARAMBIO,2019-05-29
-20.5,-25,BASE ORCADAS,2019-05-29
-14.4,-20.5,BASE SAN MARTIN,2019-05-29
11.5,0.4,BENITO JUAREZ AERO,2019-05-29
20.5,15.1,BERNARDO DE IRIGOYEN AERO,2019-05-29
11.4,1.8,BOLIVAR AERO,2019-05-29
13.7,7.7,BUENOS AIRES,2019-05-29
13.3,4.3,CAMPO DE MAYO AERO,2019-05-29
20,7.8,CATAMARCA AERO,2019-05-29
18.2,9.6,CERES AERO,2019-05-29
14.6,10.1,CHAMICAL AERO,2019-05-29
4,-3.6,CHAPELCO AERO,2019-05-29
15.5,9,CHEPES,2019-05-29
18.4,5.3,CHILECITO AERO,2019-05-29
7.2,2.2,CIPOLLETTI,2019-05-29
8.7,1.1,COMODORO RIVADAVIA AERO,2019-05-29
20,12.8,CONCORDIA AERO,2019-05-29
15,7.5,CORDOBA AERO,2019-05-29
14.8,10.8,CORDOBA OBSERVATORIO,2019-05-29
9.9,-0.6,CORONEL PRINGLES AERO,2019-05-29
9.4,-0.5,CORONEL SUAREZ AERO,2019-05-29
20.2,15.1,CORRIENTES AERO,2019-05-29
13.6,2.5,DOLORES AERO,2019-05-29
5.5,-5,EL BOLSON AERO,2019-05-29
5.4,-7,EL CALAFATE AERO,2019-05-29
14,3,EL PALOMAR AERO,2019-05-29
,9.5,EL TREBOL,2019-05-29
14,8.9,ESC.AVIACION MILITAR AERO,2019-05-29
4.3,-7.2,ESQUEL AERO,2019-05-29
12.7,3.2,EZEIZA AERO,2019-05-29
21,17.3,FORMOSA AERO,2019-05-29
10.5,1,GENERAL PICO AERO,2019-05-29
5,-5,GOBERNADOR GREGORES AERO,2019-05-29
16.8,9.4,GUALEGUAYCHU AERO,2019-05-29
25.5,17,IGUAZU AERO,2019-05-29
20,14,ITUZAINGO,2019-05-29
17,-5,JACHAL,2019-05-29
17.1,12.8,JUJUY AERO,2019-05-29
15.3,11.6,JUJUY U N,2019-05-29
12.2,2.8,JUNIN AERO,2019-05-29
14,3.6,LA PLATA AERO,2019-05-29
19.8,-3.7,LA QUIACA OBS.,2019-05-29
19.5,9.3,LA RIOJA AERO,2019-05-29
15.3,2.8,LABOULAYE AERO,2019-05-29
12.5,0.8,LAS FLORES AERO,2019-05-29
21.4,16.4,LAS LOMITAS,2019-05-29
6.9,1.8,MALARGUE AERO,2019-05-29
2.5,-11.4,MAQUINCHAO,2019-05-29
11.7,4.5,MAR DEL PLATA AERO,2019-05-29
15.7,9.2,MARCOS JUAREZ AERO,2019-05-29
13.2,1,MARIANO MORENO AERO,2019-05-29
13.6,4,MENDOZA AERO,2019-05-29
,4.8,MENDOZA OBSERVATORIO,2019-05-29
20,14.8,MERCEDES AERO (CTES),2019-05-29
12.7,4.3,MERLO AERO,2019-05-29
,,METAN,2019-05-29
21.8,14.1,MONTE CASEROS AERO,2019-05-29
13.8,4.4,MORON AERO,2019-05-29
5.8,0.6,NEUQUEN AERO,2019-05-29
11.2,3.8,NUEVE DE JULIO,2019-05-29
25,15,OBERA AERO,2019-05-29
10.9,-0.4,OLAVARRIA AERO,2019-05-29
19,15.7,ORAN AERO,2019-05-29
18.5,11.5,PARANA AERO,2019-05-29
7.1,-11.5,PASO DE INDIOS,2019-05-29
21.3,14.9,PASO DE LOS LIBRES AERO,2019-05-29
20.2,14,PCIA. ROQUE SAENZ PE�A AERO,2019-05-29
10.5,2,PEHUAJO AERO,2019-05-29
8.5,-8.9,PERITO MORENO AERO,2019-05-29
10.5,1.1,PIGUE AERO,2019-05-29
14.2,9.9,PILAR OBS.,2019-05-29
22.5,14.2,POSADAS AERO,2019-05-29
5.2,-2.4,PUERTO DESEADO AERO,2019-05-29
